,state,year,month,indicator,overdose_deaths,state_name,Date_Month_Year
5,AK,2015,4.0,Number of Drug Overdose Deaths,126,Alaska,4 2015
22,AK,2015,8.0,Number of Drug Overdose Deaths,124,Alaska,8 2015
25,AK,2015,12.0,Number of Drug Overdose Deaths,121,Alaska,12 2015
46,AK,2015,2.0,Number of Drug Overdose Deaths,127,Alaska,2 2015
59,AK,2015,1.0,Number of Drug Overdose Deaths,126,Alaska,1 2015
71,AK,2015,7.0,Number of Drug Overdose Deaths,117,Alaska,7 2015
79,AK,2015,6.0,Number of Drug Overdose Deaths,121,Alaska,6 2015
89,AK,2015,3.0,Number of Drug Overdose Deaths,125,Alaska,3 2015
105,AK,2015,5.0,Number of Drug Overdose Deaths,125,Alaska,5 2015
111,AK,2015,11.0,Number of Drug Overdose Deaths,115,Alaska,11 2015
129,AK,2015,10.0,Number of Drug Overdose Deaths,120,Alaska,10 2015
132,AK,2015,9.0,Number of Drug Overdose Deaths,125,Alaska,9 2015
151,AK,2016,4.0,Number of Drug Overdose Deaths,132,Alaska,4 2016
166,AK,2016,8.0,Number of Drug Overdose Deaths,138,Alaska,8 2016
171,AK,2016,12.0,Number of Drug Overdose Deaths,129,Alaska,12 2016
187,AK,2016,2.0,Number of Drug Overdose Deaths,128,Alaska,2 2016
202,AK,2016,1.0,Number of Drug Overdose Deaths,126,Alaska,1 2016
211,AK,2016,7.0,Number of Drug Overdose Deaths,143,Alaska,7 2016
226,AK,2016,6.0,Number of Drug Overdose Deaths,138,Alaska,6 2016
237,AK,2016,3.0,Number of Drug Overdose Deaths,125,Alaska,3 2016
248,AK,2016,5.0,Number of Drug Overdose Deaths,140,Alaska,5 2016
259,AK,2016,11.0,Number of Drug Overdose Deaths,133,Alaska,11 2016
273,AK,2016,10.0,Number of Drug Overdose Deaths,131,Alaska,10 2016
285,AK,2016,9.0,Number of Drug Overdose Deaths,131,Alaska,9 2016
298,AK,2017,4.0,Number of Drug Overdose Deaths,117,Alaska,4 2017
311,AK,2017,8.0,Number of Drug Overdose Deaths,137,Alaska,8 2017
323,AK,2017,12.0,Number of Drug Overdose Deaths,141,Alaska,12 2017
333,AK,2017,2.0,Number of Drug Overdose Deaths,124,Alaska,2 2017
347,AK,2017,1.0,Number of Drug Overdose Deaths,126,Alaska,1 2017
358,AK,2017,7.0,Number of Drug Overdose Deaths,128,Alaska,7 2017
365,AK,2017,6.0,Number of Drug Overdose Deaths,122,Alaska,6 2017
381,AK,2017,3.0,Number of Drug Overdose Deaths,126,Alaska,3 2017
394,AK,2017,5.0,Number of Drug Overdose Deaths,120,Alaska,5 2017
405,AK,2017,11.0,Number of Drug Overdose Deaths,138,Alaska,11 2017
416,AK,2017,10.0,Number of Drug Overdose Deaths,144,Alaska,10 2017
422,AK,2017,9.0,Number of Drug Overdose Deaths,148,Alaska,9 2017
440,AK,2018,4.0,Number of Drug Overdose Deaths,142,Alaska,4 2018
454,AK,2018,8.0,Number of Drug Overdose Deaths,110,Alaska,8 2018
467,AK,2018,12.0,Number of Drug Overdose Deaths,105,Alaska,12 2018
478,AK,2018,2.0,Number of Drug Overdose Deaths,139,Alaska,2 2018
490,AK,2018,1.0,Number of Drug Overdose Deaths,138,Alaska,1 2018
501,AK,2018,7.0,Number of Drug Overdose Deaths,116,Alaska,7 2018
514,AK,2018,6.0,Number of Drug Overdose Deaths,125,Alaska,6 2018
526,AK,2018,3.0,Number of Drug Overdose Deaths,136,Alaska,3 2018
539,AK,2018,5.0,Number of Drug Overdose Deaths,126,Alaska,5 2018
551,AK,2018,11.0,Number of Drug Overdose Deaths,106,Alaska,11 2018
558,AK,2018,10.0,Number of Drug Overdose Deaths,99,Alaska,10 2018
568,AK,2018,9.0,Number of Drug Overdose Deaths,100,Alaska,9 2018
580,AK,2019,4.0,Number of Drug Overdose Deaths,119,Alaska,4 2019
594,AK,2019,8.0,Number of Drug Overdose Deaths,130,Alaska,8 2019
610,AK,2019,12.0,Number of Drug Overdose Deaths,133,Alaska,12 2019
622,AK,2019,2.0,Number of Drug Overdose Deaths,115,Alaska,2 2019
626,AK,2019,1.0,Number of Drug Overdose Deaths,107,Alaska,1 2019
645,AK,2019,7.0,Number of Drug Overdose Deaths,135,Alaska,7 2019
658,AK,2019,6.0,Number of Drug Overdose Deaths,132,Alaska,6 2019
666,AK,2019,3.0,Number of Drug Overdose Deaths,124,Alaska,3 2019
683,AK,2019,5.0,Number of Drug Overdose Deaths,128,Alaska,5 2019
695,AK,2019,11.0,Number of Drug Overdose Deaths,139,Alaska,11 2019
704,AK,2019,10.0,Number of Drug Overdose Deaths,146,Alaska,10 2019
715,AK,2019,9.0,Number of Drug Overdose Deaths,136,Alaska,9 2019
731,AK,2020,4.0,Number of Drug Overdose Deaths,120,Alaska,4 2020
741,AK,2020,8.0,Number of Drug Overdose Deaths,139,Alaska,8 2020
752,AK,2020,12.0,Number of Drug Overdose Deaths,146,Alaska,12 2020
762,AK,2020,2.0,Number of Drug Overdose Deaths,125,Alaska,2 2020
779,AK,2020,1.0,Number of Drug Overdose Deaths,134,Alaska,1 2020
788,AK,2020,7.0,Number of Drug Overdose Deaths,135,Alaska,7 2020
802,AK,2020,6.0,Number of Drug Overdose Deaths,132,Alaska,6 2020
812,AK,2020,3.0,Number of Drug Overdose Deaths,117,Alaska,3 2020
823,AK,2020,5.0,Number of Drug Overdose Deaths,128,Alaska,5 2020
834,AK,2020,11.0,Number of Drug Overdose Deaths,141,Alaska,11 2020
845,AK,2020,10.0,Number of Drug Overdose Deaths,134,Alaska,10 2020
863,AK,2020,9.0,Number of Drug Overdose Deaths,140,Alaska,9 2020
875,AK,2021,4.0,Number of Drug Overdose Deaths,178,Alaska,4 2021
884,AK,2021,8.0,Number of Drug Overdose Deaths,218,Alaska,8 2021
893,AK,2021,12.0,Number of Drug Overdose Deaths,255,Alaska,12 2021
907,AK,2021,2.0,Number of Drug Overdose Deaths,152,Alaska,2 2021
918,AK,2021,1.0,Number of Drug Overdose Deaths,145,Alaska,1 2021
935,AK,2021,7.0,Number of Drug Overdose Deaths,202,Alaska,7 2021
946,AK,2021,6.0,Number of Drug Overdose Deaths,193,Alaska,6 2021
955,AK,2021,3.0,Number of Drug Overdose Deaths,171,Alaska,3 2021
970,AK,2021,5.0,Number of Drug Overdose Deaths,188,Alaska,5 2021
980,AK,2021,11.0,Number of Drug Overdose Deaths,253,Alaska,11 2021
994,AK,2021,10.0,Number of Drug Overdose Deaths,238,Alaska,10 2021
1005,AK,2021,9.0,Number of Drug Overdose Deaths,223,Alaska,9 2021
1013,AK,2022,4.0,Number of Drug Overdose Deaths,257,Alaska,4 2022
1027,AK,2022,8.0,Number of Drug Overdose Deaths,247,Alaska,8 2022
1036,AK,2022,2.0,Number of Drug Overdose Deaths,257,Alaska,2 2022
1050,AK,2022,1.0,Number of Drug Overdose Deaths,253,Alaska,1 2022
1061,AK,2022,7.0,Number of Drug Overdose Deaths,253,Alaska,7 2022
1079,AK,2022,6.0,Number of Drug Overdose Deaths,254,Alaska,6 2022
1087,AK,2022,3.0,Number of Drug Overdose Deaths,257,Alaska,3 2022
1103,AK,2022,5.0,Number of Drug Overdose Deaths,245,Alaska,5 2022
1104,AL,2015,4.0,Number of Drug Overdose Deaths,738,Alabama,4 2015
1109,AL,2015,8.0,Number of Drug Overdose Deaths,736,Alabama,8 2015
1110,AL,2015,12.0,Number of Drug Overdose Deaths,720,Alabama,12 2015
1114,AL,2015,2.0,Number of Drug Overdose Deaths,723,Alabama,2 2015
1118,AL,2015,1.0,Number of Drug Overdose Deaths,715,Alabama,1 2015
1121,AL,2015,7.0,Number of Drug Overdose Deaths,743,Alabama,7 2015
1123,AL,2015,6.0,Number of Drug Overdose Deaths,756,Alabama,6 2015
1125,AL,2015,3.0,Number of Drug Overdose Deaths,733,Alabama,3 2015
1130,AL,2015,5.0,Number of Drug Overdose Deaths,755,Alabama,5 2015
1132,AL,2015,11.0,Number of Drug Overdose Deaths,725,Alabama,11 2015
1135,AL,2015,10.0,Number of Drug Overdose Deaths,730,Alabama,10 2015
1137,AL,2015,9.0,Number of Drug Overdose Deaths,744,Alabama,9 2015
1141,AL,2016,4.0,Number of Drug Overdose Deaths,676,Alabama,4 2016
1145,AL,2016,8.0,Number of Drug Overdose Deaths,685,Alabama,8 2016
1146,AL,2016,12.0,Number of Drug Overdose Deaths,740,Alabama,12 2016
1150,AL,2016,2.0,Number of Drug Overdose Deaths,710,Alabama,2 2016
1154,AL,2016,1.0,Number of Drug Overdose Deaths,706,Alabama,1 2016
1156,AL,2016,7.0,Number of Drug Overdose Deaths,681,Alabama,7 2016
1160,AL,2016,6.0,Number of Drug Overdose Deaths,674,Alabama,6 2016
1163,AL,2016,3.0,Number of Drug Overdose Deaths,681,Alabama,3 2016
1166,AL,2016,5.0,Number of Drug Overdose Deaths,654,Alabama,5 2016
1169,AL,2016,11.0,Number of Drug Overdose Deaths,718,Alabama,11 2016
1172,AL,2016,10.0,Number of Drug Overdose Deaths,704,Alabama,10 2016
1174,AL,2016,9.0,Number of Drug Overdose Deaths,695,Alabama,9 2016
1178,AL,2017,4.0,Number of Drug Overdose Deaths,795,Alabama,4 2017
1181,AL,2017,8.0,Number of Drug Overdose Deaths,808,Alabama,8 2017
1184,AL,2017,12.0,Number of Drug Overdose Deaths,807,Alabama,12 2017
1187,AL,2017,2.0,Number of Drug Overdose Deaths,759,Alabama,2 2017
1190,AL,2017,1.0,Number of Drug Overdose Deaths,763,Alabama,1 2017
1193,AL,2017,7.0,Number of Drug Overdose Deaths,809,Alabama,7 2017
1195,AL,2017,6.0,Number of Drug Overdose Deaths,804,Alabama,6 2017
1199,AL,2017,3.0,Number of Drug Overdose Deaths,794,Alabama,3 2017
1202,AL,2017,5.0,Number of Drug Overdose Deaths,812,Alabama,5 2017
1204,AL,2017,11.0,Number of Drug Overdose Deaths,799,Alabama,11 2017
1208,AL,2017,10.0,Number of Drug Overdose Deaths,801,Alabama,10 2017
1209,AL,2017,9.0,Number of Drug Overdose Deaths,800,Alabama,9 2017
1213,AL,2018,4.0,Number of Drug Overdose Deaths,785,Alabama,4 2018
1217,AL,2018,8.0,Number of Drug Overdose Deaths,745,Alabama,8 2018
1220,AL,2018,12.0,Number of Drug Overdose Deaths,740,Alabama,12 2018
1223,AL,2018,2.0,Number of Drug Overdose Deaths,799,Alabama,2 2018
1225,AL,2018,1.0,Number of Drug Overdose Deaths,785,Alabama,1 2018
1229,AL,2018,7.0,Number of Drug Overdose Deaths,759,Alabama,7 2018
1232,AL,2018,6.0,Number of Drug Overdose Deaths,764,Alabama,6 2018
1235,AL,2018,3.0,Number of Drug Overdose Deaths,785,Alabama,3 2018
1238,AL,2018,5.0,Number of Drug Overdose Deaths,787,Alabama,5 2018
1241,AL,2018,11.0,Number of Drug Overdose Deaths,744,Alabama,11 2018
1243,AL,2018,10.0,Number of Drug Overdose Deaths,751,Alabama,10 2018
1246,AL,2018,9.0,Number of Drug Overdose Deaths,754,Alabama,9 2018
1249,AL,2019,4.0,Number of Drug Overdose Deaths,699,Alabama,4 2019
1252,AL,2019,8.0,Number of Drug Overdose Deaths,731,Alabama,8 2019
1255,AL,2019,12.0,Number of Drug Overdose Deaths,739,Alabama,12 2019
1259,AL,2019,2.0,Number of Drug Overdose Deaths,703,Alabama,2 2019
1260,AL,2019,1.0,Number of Drug Overdose Deaths,724,Alabama,1 2019
1264,AL,2019,7.0,Number of Drug Overdose Deaths,715,Alabama,7 2019
