State,State Abbreviation,Opioid Dispensing Rate per 100,Year
Alabama,AL,142.4,2013
Alaska,AK,63.7,2013
Arizona,AZ,80.4,2013
Arkansas,AR,120.9,2013
California,CA,54.4,2013
Colorado,CO,71.2,2013
Connecticut,CT,67.4,2013
Delaware,DE,92.7,2013
District of Columbia,DC,41.1,2013
Florida,FL,73.5,2013
Georgia,GA,86.6,2013
Hawaii,HI,49.4,2013
Idaho,ID,89.2,2013
Illinois,IL,63.7,2013
Indiana,IN,106.3,2013
Iowa,IA,72.2,2013
Kansas,KS,88.7,2013
Kentucky,KY,111.7,2013
Louisiana,LA,112.4,2013
Maine,ME,85.9,2013
Maryland,MD,69.0,2013
Massachusetts,MA,63.0,2013
Michigan,MI,98.9,2013
Minnesota,MN,58.3,2013
Mississippi,MS,119.6,2013
Missouri,MO,93.3,2013
Montana,MT,84.2,2013
Nebraska,NE,71.3,2013
Nevada,NV,91.1,2013
New Hampshire,NH,82.0,2013
New Jersey,NJ,58.3,2013
New Mexico,NM,71.4,2013
New York,NY,46.7,2013
North Carolina,NC,96.7,2013
North Dakota,ND,60.1,2013
Ohio,OH,93.1,2013
Oklahoma,OK,123.3,2013
Oregon,OR,94.2,2013
Pennsylvania,PA,81.6,2013
Rhode Island,RI,76.9,2013
South Carolina,SC,103.0,2013
South Dakota,SD,60.6,2013
Tennessee,TN,127.1,2013
Texas,TX,70.0,2013
Utah,UT,82.1,2013
Vermont,VT,52.2,2013
Virginia,VA,76.6,2013
Washington,WA,75.2,2013
West Virginia,WV,129.0,2013
Wisconsin,WI,73.8,2013
Wyoming,WY,81.5,2013
