State,Abbreviation,Opioid Dispensing Rate per 100,Year
United States,US,46.7,2019
Alaska,AK,39.1,2019
Alabama,AL,85.8,2019
Arkansas,AR,80.9,2019
Arizona,AZ,44.1,2019
California,CA,30.9,2019
Colorado,CO,40.0,2019
Connecticut,CT,40.5,2019
District of Columbia,DC,39.9,2019
Delaware,DE,51.6,2019
Florida,FL,45.4,2019
Georgia,GA,57.9,2019
Hawaii,HI,30.3,2019
Iowa,IA,43.0,2019
Idaho,ID,53.4,2019
Illinois,IL,43.1,2019
Indiana,IN,60.4,2019
Kansas,KS,63.7,2019
Kentucky,KY,72.3,2019
Louisiana,LA,74.6,2019
Massachusetts,MA,35.4,2019
Maryland,MD,42.3,2019
Maine,ME,44.1,2019
Michigan,MI,58.0,2019
Minnesota,MN,32.1,2019
Missouri,MO,58.3,2019
Mississippi,MS,67.0,2019
Montana,MT,48.2,2019
North Carolina,NC,56.7,2019
North Dakota,ND,38.8,2019
Nebraska,NE,50.3,2019
New Hampshire,NH,38.1,2019
New Jersey,NJ,34.8,2019
New Mexico,NM,43.4,2019
Nevada,NV,49.4,2019
New York,NY,34.8,2019
Ohio,OH,50.8,2019
Oklahoma,OK,66.0,2019
Oregon,OR,49.1,2019
Pennsylvania,PA,47.0,2019
Rhode Island,RI,40.3,2019
South Carolina,SC,60.4,2019
South Dakota,SD,43.9,2019
Tennessee,TN,74.6,2019
Texas,TX,42.1,2019
Utah,UT,51.4,2019
Virginia,VA,40.7,2019
Vermont,VT,36.9,2019
Washington,WA,42.7,2019
Wisconsin,WI,42.5,2019
West Virginia,WV,59.4,2019
Wyoming,WY,49.7,2019
