State,Abbreviation,Age_adjusted_rate,Number_of_Deaths,Year
Alabama,AL,18.0,835,2017
Alaska,AK,20.2,147,2017
Arizona,AZ,22.2,1532,2017
Arkansas,AR,15.5,446,2017
California,CA,11.7,4868,2017
Colorado,CO,17.6,1015,2017
Connecticut,CT,30.9,1072,2017
Delaware,DE,37.0,338,2017
District Of Columbia,DC,44.0,310,2017
Florida,FL,25.1,5088,2017
Georgia,GA,14.7,1537,2017
Hawaii,HI,13.8,203,2017
Idaho,ID,14.4,236,2017
Illinois,IL,21.6,2778,2017
Indiana,IN,29.4,1852,2017
Iowa,IA,11.5,341,2017
Kansas,KS,11.8,333,2017
Kentucky,KY,37.2,1566,2017
Louisiana,LA,24.5,1108,2017
Maine,ME,34.4,424,2017
Maryland,MD,36.3,2247,2017
Massachusetts,MA,31.8,2168,2017
Michigan,MI,27.8,2694,2017
Minnesota,MN,13.3,733,2017
Mississippi,MS,12.2,354,2017
Missouri,MO,23.4,1367,2017
Montana,MT,11.7,119,2017
Nebraska,NE,8.1,152,2017
Nevada,NV,21.6,676,2017
New Hampshire,NH,37.0,467,2017
New Jersey,NJ,30.0,2685,2017
New Mexico,NM,24.8,493,2017
New York,NY,19.4,3921,2017
North Carolina,NC,24.1,2414,2017
North Dakota,ND,9.2,68,2017
Ohio,OH,46.3,5111,2017
Oklahoma,OK,20.1,775,2017
Oregon,OR,12.4,530,2017
Pennsylvania,PA,44.3,5388,2017
Rhode Island,RI,31.0,320,2017
South Carolina,SC,20.5,1008,2017
South Dakota,SD,8.5,73,2017
Tennessee,TN,26.6,1776,2017
Texas,TX,10.5,2989,2017
Utah,UT,22.3,650,2017
Vermont,VT,23.2,134,2017
Virginia,VA,17.9,1507,2017
Washington,WA,15.2,1169,2017
West Virginia,WV,57.8,974,2017
Wisconsin,WI,21.2,1177,2017
Wyoming,WY,12.2,69,2017
