State,Abbreviation,Age_adjusted_rate,Number_of_Deaths,Year
Alabama,AL,15.2,723,2014
Alaska,AK,16.8,124,2014
Arizona,AZ,18.2,1211,2014
Arkansas,AR,12.6,356,2014
California,CA,11.1,4521,2014
Colorado,CO,16.3,899,2014
Connecticut,CT,17.6,623,2014
Delaware,DE,20.9,189,2014
District Of Columbia,DC,14.2,96,2014
Florida,FL,13.2,2634,2014
Georgia,GA,11.9,1206,2014
Hawaii,HI,10.9,157,2014
Idaho,ID,13.7,212,2014
Illinois,IL,13.1,1705,2014
Indiana,IN,18.2,1172,2014
Iowa,IA,8.8,264,2014
Kansas,KS,11.7,332,2014
Kentucky,KY,24.7,1077,2014
Louisiana,LA,16.9,777,2014
Maine,ME,16.8,216,2014
Maryland,MD,17.4,1070,2014
Massachusetts,MA,19.0,1289,2014
Michigan,MI,18.0,1762,2014
Minnesota,MN,9.6,517,2014
Mississippi,MS,11.6,336,2014
Missouri,MO,18.2,1067,2014
Montana,MT,12.4,125,2014
Nebraska,NE,7.2,125,2014
Nevada,NV,18.4,545,2014
New Hampshire,NH,26.2,334,2014
New Jersey,NJ,14.0,1253,2014
New Mexico,NM,27.3,547,2014
New York,NY,11.3,2300,2014
North Carolina,NC,13.8,1358,2014
North Dakota,ND,6.3,43,2014
Ohio,OH,24.6,2744,2014
Oklahoma,OK,20.3,777,2014
Oregon,OR,12.8,522,2014
Pennsylvania,PA,21.9,2732,2014
Rhode Island,RI,23.4,247,2014
South Carolina,SC,14.4,701,2014
South Dakota,SD,7.8,63,2014
Tennessee,TN,19.5,1269,2014
Texas,TX,9.7,2601,2014
Utah,UT,22.4,603,2014
Vermont,VT,13.9,83,2014
Virginia,VA,11.7,980,2014
Washington,WA,13.3,979,2014
West Virginia,WV,35.5,627,2014
Wisconsin,WI,15.1,853,2014
Wyoming,WY,19.4,109,2014
Alabama,AL,15.7,736,2015
Alaska,AK,16.0,122,2015
Arizona,AZ,19.0,1274,2015
Arkansas,AR,13.8,392,2015
California,CA,11.3,4659,2015
Colorado,CO,15.4,869,2015
Connecticut,CT,22.1,800,2015
Delaware,DE,22.0,198,2015
District Of Columbia,DC,18.6,125,2015
Florida,FL,16.2,3228,2015
Georgia,GA,12.7,1302,2015
Hawaii,HI,11.3,169,2015
Idaho,ID,14.2,218,2015
Illinois,IL,14.1,1835,2015
Indiana,IN,19.5,1245,2015
Iowa,IA,10.3,309,2015
Kansas,KS,11.8,329,2015
Kentucky,KY,29.9,1273,2015
Louisiana,LA,19.0,861,2015
Maine,ME,21.2,269,2015
Maryland,MD,20.9,1285,2015
Massachusetts,MA,25.7,1724,2015
Michigan,MI,20.4,1980,2015
Minnesota,MN,10.6,581,2015
Mississippi,MS,12.3,351,2015
Missouri,MO,17.9,1066,2015
Montana,MT,13.8,138,2015
Nebraska,NE,6.9,126,2015
Nevada,NV,20.4,619,2015
New Hampshire,NH,34.3,422,2015
New Jersey,NJ,16.3,1454,2015
New Mexico,NM,25.3,501,2015
New York,NY,13.6,2754,2015
North Carolina,NC,15.8,1567,2015
North Dakota,ND,8.6,61,2015
Ohio,OH,29.9,3310,2015
Oklahoma,OK,19.0,725,2015
Oregon,OR,12.0,505,2015
Pennsylvania,PA,26.3,3264,2015
Rhode Island,RI,28.2,310,2015
South Carolina,SC,15.7,761,2015
South Dakota,SD,8.4,65,2015
Tennessee,TN,22.2,1457,2015
Texas,TX,9.4,2588,2015
Utah,UT,23.4,646,2015
Vermont,VT,16.7,99,2015
Virginia,VA,12.4,1039,2015
Washington,WA,14.7,1094,2015
West Virginia,WV,41.5,725,2015
Wisconsin,WI,15.5,878,2015
Wyoming,WY,16.4,96,2015
Alabama,AL,16.2,756,2016
Alaska,AK,16.8,128,2016
Arizona,AZ,20.3,1382,2016
Arkansas,AR,14.0,401,2016
California,CA,11.2,4654,2016
Colorado,CO,16.6,942,2016
Connecticut,CT,27.4,971,2016
Delaware,DE,30.8,282,2016
District Of Columbia,DC,38.8,269,2016
Florida,FL,23.7,4728,2016
Georgia,GA,13.3,1394,2016
Hawaii,HI,12.8,191,2016
Idaho,ID,15.2,243,2016
Illinois,IL,18.9,2411,2016
Indiana,IN,24.0,1526,2016
Iowa,IA,10.6,314,2016
Kansas,KS,11.1,313,2016
Kentucky,KY,33.5,1419,2016
Louisiana,LA,21.8,996,2016
Maine,ME,28.7,353,2016
Maryland,MD,33.2,2044,2016
Massachusetts,MA,33.0,2227,2016
Michigan,MI,24.4,2347,2016
Minnesota,MN,12.5,672,2016
Mississippi,MS,12.1,352,2016
Missouri,MO,23.6,1371,2016
Montana,MT,11.7,119,2016
Nebraska,NE,6.4,120,2016
Nevada,NV,21.7,665,2016
New Hampshire,NH,39.0,481,2016
New Jersey,NJ,23.2,2056,2016
New Mexico,NM,25.2,500,2016
New York,NY,18.0,3638,2016
North Carolina,NC,19.7,1956,2016
North Dakota,ND,10.6,77,2016
