Location,Abbreviation,2014_Range Category,2014_ Age_Adjusted_Rate,2014_Number_of_Deaths,2015_Range Category,2015_ Age_Adjusted_Rate,2015_Number_of_Deaths,2016_Range Category,2016_ Age_Adjusted_Rate,2016_Number_of_Deaths,2017_Range Category,2017_ Age_Adjusted_Rate,2017_Number_of_Deaths,2018_Range Category,2018_ Age_Adjusted_Rate,2018_Number_of_Deaths,2019_Range Category,2019_ Age_Adjusted_Rate,2019_Number_of_Deaths
Alabama,AL,13.6 to 16.0,15.2,723,13.6 to 16.0,15.7,736,16.1 to 18.5,16.2,756,16.1 to 18.5,18,835,16.1 to 18.5,16.6,775,16.1 to 18.5,16.3,768
Alaska,AK,16.1 to 18.5,16.8,124,13.6 to 16.0,16,122,16.1 to 18.5,16.8,128,18.6 to 21.0,20.2,147,13.6 to 16.0,14.6,110,16.1 to 18.5,17.8,132
Arizona,AZ,16.1 to 18.5,18.2,"1,211",18.6 to 21.0,19,"1,274",18.6 to 21.0,20.3,"1,382",21.1 to 57.0,22.2,"1,532",21.1 to 57.0,23.8,"1,670",21.1 to 57.0,26.8,1907
Arkansas,AR,11.1 to 13.5,12.6,356,13.6 to 16.0,13.8,392,13.6 to 16.0,14,401,13.6 to 16.0,15.5,446,13.6 to 16.0,15.7,444,11.1 to 13.5,13.5,388
California,CA,11.1 to 13.5,11.1,"4,521",11.1 to 13.5,11.3,"4,659",11.1 to 13.5,11.2,"4,654",11.1 to 13.5,11.7,"4,868",11.1 to 13.5,12.8,"5,348",13.6 to 16.0,15,6198
Colorado,CO,16.1 to 18.5,16.3,899,13.6 to 16.0,15.4,869,16.1 to 18.5,16.6,942,16.1 to 18.5,17.6,"1,015",16.1 to 18.5,16.8,995,16.1 to 18.5,18,1079
Connecticut,CT,16.1 to 18.5,17.6,623,21.0 to 41.5,22.1,800,21.1 to 52.0,27.4,971,21.1 to 57.0,30.9,"1,072",21.1 to 57.0,30.7,"1,069",21.1 to 57.0,34.7,1214
Delaware,DE,18.6 to 21.0,20.9,189,21.0 to 41.5,22,198,21.1 to 52.0,30.8,282,21.1 to 57.0,37,338,21.1 to 57.0,43.8,401,21.1 to 57.0,48,435
District Of Columbia,DC,13.6 to 16.0,14.2,96,18.6 to 21.0,18.6,125,21.1 to 52.0,38.8,269,21.1 to 57.0,44,310,21.1 to 57.0,35.4,254,21.1 to 57.0,43.2,311
Florida,FL,11.1 to 13.5,13.2,"2,634",16.1 to 18.5,16.2,"3,228",21.1 to 52.0,23.7,"4,728",21.1 to 57.0,25.1,"5,088",21.1 to 57.0,22.8,"4,698",21.1 to 57.0,25.5,5268
Georgia,GA,11.1 to 13.5,11.9,"1,206",11.1 to 13.5,12.7,"1,302",11.1 to 13.5,13.3,"1,394",13.6 to 16.0,14.7,"1,537",11.1 to 13.5,13.2,"1,404",11.1 to 13.5,13.1,1408
Hawaii,HI,6.3 to 11.0,10.9,157,11.1 to 13.5,11.3,169,11.1 to 13.5,12.8,191,13.6 to 16.0,13.8,203,13.6 to 16.0,14.3,213,13.6 to 16.0,15.9,242
Idaho,ID,13.6 to 16.0,13.7,212,13.6 to 16.0,14.2,218,13.6 to 16.0,15.2,243,13.6 to 16.0,14.4,236,13.6 to 16.0,14.6,250,13.6 to 16.0,15.1,265
Illinois,IL,11.1 to 13.5,13.1,"1,705",13.6 to 16.0,14.1,"1,835",18.6 to 21.0,18.9,"2,411",21.1 to 57.0,21.6,"2,778",21.1 to 57.0,21.3,"2,722",21.1 to 57.0,21.9,2790
Indiana,IN,16.1 to 18.5,18.2,"1,172",18.6 to 21.0,19.5,"1,245",21.1 to 52.0,24,"1,526",21.1 to 57.0,29.4,"1,852",21.1 to 57.0,25.6,"1,629",21.1 to 57.0,26.6,1699
Iowa,IA,6.3 to 11.0,8.8,264,6.9 to 11.0,10.3,309,6.9 to 11.0,10.6,314,11.1 to 13.5,11.5,341,6.9 to 11.0,9.6,287,11.1 to 13.5,11.5,352
Kansas,KS,11.1 to 13.5,11.7,332,11.1 to 13.5,11.8,329,11.1 to 13.5,11.1,313,11.1 to 13.5,11.8,333,11.1 to 13.5,12.4,345,13.6 to 16.0,14.3,403
Kentucky,KY,21.0 to 35.5,24.7,"1,077",21.0 to 41.5,29.9,"1,273",21.1 to 52.0,33.5,"1,419",21.1 to 57.0,37.2,"1,566",21.1 to 57.0,30.9,"1,315",21.1 to 57.0,32.5,1380
Louisiana,LA,16.1 to 18.5,16.9,777,18.6 to 21.0,19,861,21.1 to 52.0,21.8,996,21.1 to 57.0,24.5,"1,108",21.1 to 57.0,25.4,"1,140",21.1 to 57.0,28.3,1267
Maine,ME,16.1 to 18.5,16.8,216,21.0 to 41.5,21.2,269,21.1 to 52.0,28.7,353,21.1 to 57.0,34.4,424,21.1 to 57.0,27.9,345,21.1 to 57.0,29.9,371
Maryland,MD,16.1 to 18.5,17.4,"1,070",18.6 to 21.0,20.9,"1,285",21.1 to 52.0,33.2,"2,044",21.1 to 57.0,36.3,"2,247",21.1 to 57.0,37.2,"2,324",21.1 to 57.0,38.2,2369
Massachusetts,MA,18.6 to 21.0,19,"1,289",21.0 to 41.5,25.7,"1,724",21.1 to 52.0,33,"2,227",21.1 to 57.0,31.8,"2,168",21.1 to 57.0,32.8,"2,241",21.1 to 57.0,32.1,2210
Michigan,MI,16.1 to 18.5,18,"1,762",18.6 to 21.0,20.4,"1,980",21.1 to 52.0,24.4,"2,347",21.1 to 57.0,27.8,"2,694",21.1 to 57.0,26.6,"2,591",21.1 to 57.0,24.4,2385
Minnesota,MN,6.3 to 11.0,9.6,517,6.9 to 11.0,10.6,581,11.1 to 13.5,12.5,672,11.1 to 13.5,13.3,733,11.1 to 13.5,11.5,636,13.6 to 16.0,14.2,792
Mississippi,MS,11.1 to 13.5,11.6,336,11.1 to 13.5,12.3,351,11.1 to 13.5,12.1,352,11.1 to 13.5,12.2,354,6.9 to 11.0,10.8,310,13.6 to 16.0,13.6,394
Missouri,MO,16.1 to 18.5,18.2,"1,067",16.1 to 18.5,17.9,"1,066",21.1 to 52.0,23.6,"1,371",21.1 to 57.0,23.4,"1,367",21.1 to 57.0,27.5,"1,610",21.1 to 57.0,26.9,1583
Montana,MT,11.1 to 13.5,12.4,125,13.6 to 16.0,13.8,138,11.1 to 13.5,11.7,119,11.1 to 13.5,11.7,119,11.1 to 13.5,12.2,125,13.6 to 16.0,14.1,143
Nebraska,NE,6.3 to 11.0,7.2,125,6.9 to 11.0,6.9,126,6.9 to 11.0,6.4,120,6.9 to 11.0,8.1,152,6.9 to 11.0,7.4,138,6.9 to 11.0,8.7,161
