,State,Year,Month,Indicator,Total_deaths,State_name,Date_Month_Year,Date
6,AK,2015,April,Number of Deaths,"4,133",Alaska,April 2015,2015-04-01
19,AK,2015,August,Number of Deaths,"4,222",Alaska,August 2015,2015-08-01
28,AK,2015,December,Number of Deaths,"4,193",Alaska,December 2015,2015-12-01
39,AK,2015,February,Number of Deaths,"4,084",Alaska,February 2015,2015-02-01
49,AK,2015,January,Number of Deaths,"4,034",Alaska,January 2015,2015-01-01
69,AK,2015,July,Number of Deaths,"4,220",Alaska,July 2015,2015-07-01
81,AK,2015,June,Number of Deaths,"4,201",Alaska,June 2015,2015-06-01
90,AK,2015,March,Number of Deaths,"4,101",Alaska,March 2015,2015-03-01
96,AK,2015,May,Number of Deaths,"4,196",Alaska,May 2015,2015-05-01
117,AK,2015,November,Number of Deaths,"4,219",Alaska,November 2015,2015-11-01
130,AK,2015,October,Number of Deaths,"4,241",Alaska,October 2015,2015-10-01
136,AK,2015,September,Number of Deaths,"4,242",Alaska,September 2015,2015-09-01
152,AK,2016,April,Number of Deaths,"4,262",Alaska,April 2016,2016-04-01
159,AK,2016,August,Number of Deaths,"4,276",Alaska,August 2016,2016-08-01
179,AK,2016,December,Number of Deaths,"4,355",Alaska,December 2016,2016-12-01
190,AK,2016,February,Number of Deaths,"4,198",Alaska,February 2016,2016-02-01
201,AK,2016,January,Number of Deaths,"4,213",Alaska,January 2016,2016-01-01
215,AK,2016,July,Number of Deaths,"4,269",Alaska,July 2016,2016-07-01
225,AK,2016,June,Number of Deaths,"4,261",Alaska,June 2016,2016-06-01
236,AK,2016,March,Number of Deaths,"4,230",Alaska,March 2016,2016-03-01
244,AK,2016,May,Number of Deaths,"4,241",Alaska,May 2016,2016-05-01
255,AK,2016,November,Number of Deaths,"4,289",Alaska,November 2016,2016-11-01
267,AK,2016,October,Number of Deaths,"4,291",Alaska,October 2016,2016-10-01
286,AK,2016,September,Number of Deaths,"4,256",Alaska,September 2016,2016-09-01
289,AK,2017,April,Number of Deaths,"4,325",Alaska,April 2017,2017-04-01
310,AK,2017,August,Number of Deaths,"4,234",Alaska,August 2017,2017-08-01
321,AK,2017,December,Number of Deaths,"4,279",Alaska,December 2017,2017-12-01
330,AK,2017,February,Number of Deaths,"4,347",Alaska,February 2017,2017-02-01
340,AK,2017,January,Number of Deaths,"4,374",Alaska,January 2017,2017-01-01
356,AK,2017,July,Number of Deaths,"4,236",Alaska,July 2017,2017-07-01
369,AK,2017,June,Number of Deaths,"4,276",Alaska,June 2017,2017-06-01
375,AK,2017,March,Number of Deaths,"4,359",Alaska,March 2017,2017-03-01
388,AK,2017,May,Number of Deaths,"4,277",Alaska,May 2017,2017-05-01
407,AK,2017,November,Number of Deaths,"4,308",Alaska,November 2017,2017-11-01
413,AK,2017,October,Number of Deaths,"4,283",Alaska,October 2017,2017-10-01
430,AK,2017,September,Number of Deaths,"4,299",Alaska,September 2017,2017-09-01
442,AK,2018,April,Number of Deaths,"4,340",Alaska,April 2018,2018-04-01
447,AK,2018,August,Number of Deaths,"4,383",Alaska,August 2018,2018-08-01
461,AK,2018,December,Number of Deaths,"4,333",Alaska,December 2018,2018-12-01
