Date,State,Year,Month,Indicator,overdose_deaths,State_name,Date_Month_Year
2015-04-01,AK,2015,April,Number of Drug Overdose Deaths,126,Alaska,April 2015
2015-08-01,AK,2015,August,Number of Drug Overdose Deaths,124,Alaska,August 2015
2015-12-01,AK,2015,December,Number of Drug Overdose Deaths,121,Alaska,December 2015
2015-02-01,AK,2015,February,Number of Drug Overdose Deaths,127,Alaska,February 2015
2015-01-01,AK,2015,January,Number of Drug Overdose Deaths,126,Alaska,January 2015
2015-07-01,AK,2015,July,Number of Drug Overdose Deaths,117,Alaska,July 2015
2015-06-01,AK,2015,June,Number of Drug Overdose Deaths,121,Alaska,June 2015
2015-03-01,AK,2015,March,Number of Drug Overdose Deaths,125,Alaska,March 2015
2015-05-01,AK,2015,May,Number of Drug Overdose Deaths,125,Alaska,May 2015
2015-11-01,AK,2015,November,Number of Drug Overdose Deaths,115,Alaska,November 2015
2015-10-01,AK,2015,October,Number of Drug Overdose Deaths,120,Alaska,October 2015
2015-09-01,AK,2015,September,Number of Drug Overdose Deaths,125,Alaska,September 2015
2016-04-01,AK,2016,April,Number of Drug Overdose Deaths,132,Alaska,April 2016
2016-08-01,AK,2016,August,Number of Drug Overdose Deaths,138,Alaska,August 2016
2016-12-01,AK,2016,December,Number of Drug Overdose Deaths,129,Alaska,December 2016
2016-02-01,AK,2016,February,Number of Drug Overdose Deaths,128,Alaska,February 2016
2016-01-01,AK,2016,January,Number of Drug Overdose Deaths,126,Alaska,January 2016
2016-07-01,AK,2016,July,Number of Drug Overdose Deaths,143,Alaska,July 2016
2016-06-01,AK,2016,June,Number of Drug Overdose Deaths,138,Alaska,June 2016
2016-03-01,AK,2016,March,Number of Drug Overdose Deaths,125,Alaska,March 2016
2016-05-01,AK,2016,May,Number of Drug Overdose Deaths,140,Alaska,May 2016
2016-11-01,AK,2016,November,Number of Drug Overdose Deaths,133,Alaska,November 2016
2016-10-01,AK,2016,October,Number of Drug Overdose Deaths,131,Alaska,October 2016
2016-09-01,AK,2016,September,Number of Drug Overdose Deaths,131,Alaska,September 2016
2017-04-01,AK,2017,April,Number of Drug Overdose Deaths,117,Alaska,April 2017
2017-08-01,AK,2017,August,Number of Drug Overdose Deaths,137,Alaska,August 2017
2017-12-01,AK,2017,December,Number of Drug Overdose Deaths,141,Alaska,December 2017
2017-02-01,AK,2017,February,Number of Drug Overdose Deaths,124,Alaska,February 2017
2017-01-01,AK,2017,January,Number of Drug Overdose Deaths,126,Alaska,January 2017
2017-07-01,AK,2017,July,Number of Drug Overdose Deaths,128,Alaska,July 2017
2017-06-01,AK,2017,June,Number of Drug Overdose Deaths,122,Alaska,June 2017
2017-03-01,AK,2017,March,Number of Drug Overdose Deaths,126,Alaska,March 2017
2017-05-01,AK,2017,May,Number of Drug Overdose Deaths,120,Alaska,May 2017
2017-11-01,AK,2017,November,Number of Drug Overdose Deaths,138,Alaska,November 2017
2017-10-01,AK,2017,October,Number of Drug Overdose Deaths,144,Alaska,October 2017
2017-09-01,AK,2017,September,Number of Drug Overdose Deaths,148,Alaska,September 2017
2018-04-01,AK,2018,April,Number of Drug Overdose Deaths,142,Alaska,April 2018
2018-08-01,AK,2018,August,Number of Drug Overdose Deaths,110,Alaska,August 2018
2018-12-01,AK,2018,December,Number of Drug Overdose Deaths,105,Alaska,December 2018
2018-02-01,AK,2018,February,Number of Drug Overdose Deaths,139,Alaska,February 2018
2018-01-01,AK,2018,January,Number of Drug Overdose Deaths,138,Alaska,January 2018
2018-07-01,AK,2018,July,Number of Drug Overdose Deaths,116,Alaska,July 2018
2018-06-01,AK,2018,June,Number of Drug Overdose Deaths,125,Alaska,June 2018
2018-03-01,AK,2018,March,Number of Drug Overdose Deaths,136,Alaska,March 2018
2018-05-01,AK,2018,May,Number of Drug Overdose Deaths,126,Alaska,May 2018
2018-11-01,AK,2018,November,Number of Drug Overdose Deaths,106,Alaska,November 2018
2018-10-01,AK,2018,October,Number of Drug Overdose Deaths,99,Alaska,October 2018
2018-09-01,AK,2018,September,Number of Drug Overdose Deaths,100,Alaska,September 2018
2019-04-01,AK,2019,April,Number of Drug Overdose Deaths,119,Alaska,April 2019
2019-08-01,AK,2019,August,Number of Drug Overdose Deaths,130,Alaska,August 2019
2019-12-01,AK,2019,December,Number of Drug Overdose Deaths,133,Alaska,December 2019
2019-02-01,AK,2019,February,Number of Drug Overdose Deaths,115,Alaska,February 2019
2019-01-01,AK,2019,January,Number of Drug Overdose Deaths,107,Alaska,January 2019
2019-07-01,AK,2019,July,Number of Drug Overdose Deaths,135,Alaska,July 2019
2019-06-01,AK,2019,June,Number of Drug Overdose Deaths,132,Alaska,June 2019
2019-03-01,AK,2019,March,Number of Drug Overdose Deaths,124,Alaska,March 2019
2019-05-01,AK,2019,May,Number of Drug Overdose Deaths,128,Alaska,May 2019
2019-11-01,AK,2019,November,Number of Drug Overdose Deaths,139,Alaska,November 2019
2019-10-01,AK,2019,October,Number of Drug Overdose Deaths,146,Alaska,October 2019
2019-09-01,AK,2019,September,Number of Drug Overdose Deaths,136,Alaska,September 2019
2020-04-01,AK,2020,April,Number of Drug Overdose Deaths,120,Alaska,April 2020
2020-08-01,AK,2020,August,Number of Drug Overdose Deaths,139,Alaska,August 2020
2020-12-01,AK,2020,December,Number of Drug Overdose Deaths,146,Alaska,December 2020
2020-02-01,AK,2020,February,Number of Drug Overdose Deaths,125,Alaska,February 2020
2020-01-01,AK,2020,January,Number of Drug Overdose Deaths,134,Alaska,January 2020
2020-07-01,AK,2020,July,Number of Drug Overdose Deaths,135,Alaska,July 2020
2020-06-01,AK,2020,June,Number of Drug Overdose Deaths,132,Alaska,June 2020
2020-03-01,AK,2020,March,Number of Drug Overdose Deaths,117,Alaska,March 2020
2020-05-01,AK,2020,May,Number of Drug Overdose Deaths,128,Alaska,May 2020
2020-11-01,AK,2020,November,Number of Drug Overdose Deaths,141,Alaska,November 2020
2020-10-01,AK,2020,October,Number of Drug Overdose Deaths,134,Alaska,October 2020
2020-09-01,AK,2020,September,Number of Drug Overdose Deaths,140,Alaska,September 2020
2021-04-01,AK,2021,April,Number of Drug Overdose Deaths,178,Alaska,April 2021
2021-08-01,AK,2021,August,Number of Drug Overdose Deaths,218,Alaska,August 2021
2021-12-01,AK,2021,December,Number of Drug Overdose Deaths,255,Alaska,December 2021
2021-02-01,AK,2021,February,Number of Drug Overdose Deaths,152,Alaska,February 2021
2021-01-01,AK,2021,January,Number of Drug Overdose Deaths,145,Alaska,January 2021
2021-07-01,AK,2021,July,Number of Drug Overdose Deaths,202,Alaska,July 2021
2021-06-01,AK,2021,June,Number of Drug Overdose Deaths,193,Alaska,June 2021
2021-03-01,AK,2021,March,Number of Drug Overdose Deaths,171,Alaska,March 2021
2021-05-01,AK,2021,May,Number of Drug Overdose Deaths,188,Alaska,May 2021
2021-11-01,AK,2021,November,Number of Drug Overdose Deaths,253,Alaska,November 2021
2021-10-01,AK,2021,October,Number of Drug Overdose Deaths,238,Alaska,October 2021
2021-09-01,AK,2021,September,Number of Drug Overdose Deaths,223,Alaska,September 2021
2022-04-01,AK,2022,April,Number of Drug Overdose Deaths,257,Alaska,April 2022
2022-08-01,AK,2022,August,Number of Drug Overdose Deaths,247,Alaska,August 2022
2022-02-01,AK,2022,February,Number of Drug Overdose Deaths,257,Alaska,February 2022
2022-01-01,AK,2022,January,Number of Drug Overdose Deaths,253,Alaska,January 2022
2022-07-01,AK,2022,July,Number of Drug Overdose Deaths,253,Alaska,July 2022
2022-06-01,AK,2022,June,Number of Drug Overdose Deaths,254,Alaska,June 2022
2022-03-01,AK,2022,March,Number of Drug Overdose Deaths,257,Alaska,March 2022
2022-05-01,AK,2022,May,Number of Drug Overdose Deaths,245,Alaska,May 2022
