Year,Month,Indicator,Value,State
2015,April,Number of Deaths,"4,133",Alaska
2015,August,Number of Deaths,"4,222",Alaska
2015,December,Number of Deaths,"4,193",Alaska
2015,February,Number of Deaths,"4,084",Alaska
2015,January,Number of Deaths,"4,034",Alaska
2015,July,Number of Deaths,"4,220",Alaska
2015,June,Number of Deaths,"4,201",Alaska
2015,March,Number of Deaths,"4,101",Alaska
2015,May,Number of Deaths,"4,196",Alaska
2015,November,Number of Deaths,"4,219",Alaska
2015,October,Number of Deaths,"4,241",Alaska
2015,September,Number of Deaths,"4,242",Alaska
2016,April,Number of Deaths,"4,262",Alaska
2016,August,Number of Deaths,"4,276",Alaska
2016,December,Number of Deaths,"4,355",Alaska
2016,February,Number of Deaths,"4,198",Alaska
2016,January,Number of Deaths,"4,213",Alaska
2016,July,Number of Deaths,"4,269",Alaska
2016,June,Number of Deaths,"4,261",Alaska
2016,March,Number of Deaths,"4,230",Alaska
2016,May,Number of Deaths,"4,241",Alaska
2016,November,Number of Deaths,"4,289",Alaska
2016,October,Number of Deaths,"4,291",Alaska
2016,September,Number of Deaths,"4,256",Alaska
2017,April,Number of Deaths,"4,325",Alaska
2017,August,Number of Deaths,"4,234",Alaska
2017,December,Number of Deaths,"4,279",Alaska
2017,February,Number of Deaths,"4,347",Alaska
2017,January,Number of Deaths,"4,374",Alaska
2017,July,Number of Deaths,"4,236",Alaska
2017,June,Number of Deaths,"4,276",Alaska
2017,March,Number of Deaths,"4,359",Alaska
2017,May,Number of Deaths,"4,277",Alaska
2017,November,Number of Deaths,"4,308",Alaska
2017,October,Number of Deaths,"4,283",Alaska
2017,September,Number of Deaths,"4,299",Alaska
2018,April,Number of Deaths,"4,340",Alaska
2018,August,Number of Deaths,"4,383",Alaska
2018,December,Number of Deaths,"4,333",Alaska
2018,February,Number of Deaths,"4,303",Alaska
2018,January,Number of Deaths,"4,259",Alaska
2018,July,Number of Deaths,"4,337",Alaska
2018,June,Number of Deaths,"4,308",Alaska
2018,March,Number of Deaths,"4,285",Alaska
2018,May,Number of Deaths,"4,351",Alaska
2018,November,Number of Deaths,"4,333",Alaska
2018,October,Number of Deaths,"4,309",Alaska
2018,September,Number of Deaths,"4,324",Alaska
2019,April,Number of Deaths,"4,405",Alaska
2019,August,Number of Deaths,"4,457",Alaska
2019,December,Number of Deaths,"4,528",Alaska
2019,February,Number of Deaths,"4,386",Alaska
2019,January,Number of Deaths,"4,357",Alaska
2019,July,Number of Deaths,"4,475",Alaska
2019,June,Number of Deaths,"4,517",Alaska
2019,March,Number of Deaths,"4,441",Alaska
2019,May,Number of Deaths,"4,460",Alaska
2019,November,Number of Deaths,"4,503",Alaska
2019,October,Number of Deaths,"4,482",Alaska
2019,September,Number of Deaths,"4,473",Alaska
2020,April,Number of Deaths,"4,510",Alaska
2020,August,Number of Deaths,"4,661",Alaska
2020,December,Number of Deaths,"5,008",Alaska
2020,February,Number of Deaths,"4,546",Alaska
2020,January,Number of Deaths,"4,545",Alaska
2020,July,Number of Deaths,"4,604",Alaska
2020,June,Number of Deaths,"4,499",Alaska
2020,March,Number of Deaths,"4,495",Alaska
2020,May,Number of Deaths,"4,507",Alaska
2020,November,Number of Deaths,"4,910",Alaska
2020,October,Number of Deaths,"4,816",Alaska
2020,September,Number of Deaths,"4,723",Alaska
2021,April,Number of Deaths,"5,182",Alaska
2021,August,Number of Deaths,"5,473",Alaska
2021,December,Number of Deaths,"6,076",Alaska
2021,February,Number of Deaths,"5,061",Alaska
2021,January,Number of Deaths,"5,059",Alaska
2021,July,Number of Deaths,"5,308",Alaska
2021,June,Number of Deaths,"5,273",Alaska
2021,March,Number of Deaths,"5,125",Alaska
2021,May,Number of Deaths,"5,229",Alaska
2021,November,Number of Deaths,"6,035",Alaska
2021,October,Number of Deaths,"5,944",Alaska
2021,September,Number of Deaths,"5,693",Alaska
2022,April,Number of Deaths,"6,213",Alaska
2022,August,Number of Deaths,"6,147",Alaska
2022,February,Number of Deaths,"6,188",Alaska
2022,January,Number of Deaths,"6,120",Alaska
2022,July,Number of Deaths,"6,285",Alaska
2022,June,Number of Deaths,"6,261",Alaska
2022,March,Number of Deaths,"6,215",Alaska
2022,May,Number of Deaths,"6,209",Alaska
2015,April,Number of Deaths,"50,565",Alabama
2015,August,Number of Deaths,"50,930",Alabama
2015,December,Number of Deaths,"50,870",Alabama
2015,February,Number of Deaths,"50,004",Alabama
2015,January,Number of Deaths,"49,543",Alabama
2015,July,Number of Deaths,"50,841",Alabama
2015,June,Number of Deaths,"50,658",Alabama
2015,March,Number of Deaths,"50,486",Alabama
2015,May,Number of Deaths,"50,516",Alabama
2015,November,Number of Deaths,"51,093",Alabama
2015,October,Number of Deaths,"51,091",Alabama
2015,September,Number of Deaths,"51,044",Alabama
2016,April,Number of Deaths,"50,391",Alabama
2016,August,Number of Deaths,"50,756",Alabama
2016,December,Number of Deaths,"51,431",Alabama
2016,February,Number of Deaths,"50,555",Alabama
2016,January,Number of Deaths,"50,534",Alabama
2016,July,Number of Deaths,"50,683",Alabama
2016,June,Number of Deaths,"50,613",Alabama
2016,March,Number of Deaths,"50,348",Alabama
2016,May,Number of Deaths,"50,511",Alabama
2016,November,Number of Deaths,"51,110",Alabama
2016,October,Number of Deaths,"50,869",Alabama
2016,September,Number of Deaths,"50,810",Alabama
2017,April,Number of Deaths,"51,794",Alabama
2017,August,Number of Deaths,"52,075",Alabama
2017,December,Number of Deaths,"52,307",Alabama
2017,February,Number of Deaths,"51,542",Alabama
2017,January,Number of Deaths,"51,652",Alabama
2017,July,Number of Deaths,"52,035",Alabama
2017,June,Number of Deaths,"52,000",Alabama
2017,March,Number of Deaths,"51,668",Alabama
2017,May,Number of Deaths,"51,943",Alabama
2017,November,Number of Deaths,"52,254",Alabama
2017,October,Number of Deaths,"52,267",Alabama
2017,September,Number of Deaths,"52,232",Alabama
2018,April,Number of Deaths,"53,252",Alabama
2018,August,Number of Deaths,"53,500",Alabama
2018,December,Number of Deaths,"53,296",Alabama
2018,February,Number of Deaths,"53,281",Alabama
2018,January,Number of Deaths,"53,108",Alabama
2018,July,Number of Deaths,"53,478",Alabama
2018,June,Number of Deaths,"53,375",Alabama
2018,March,Number of Deaths,"53,230",Alabama
2018,May,Number of Deaths,"53,290",Alabama
2018,November,Number of Deaths,"53,381",Alabama
2018,October,Number of Deaths,"53,406",Alabama
2018,September,Number of Deaths,"53,384",Alabama
2019,April,Number of Deaths,"52,576",Alabama
2019,August,Number of Deaths,"53,025",Alabama
2019,December,Number of Deaths,"53,210",Alabama
2019,February,Number of Deaths,"52,432",Alabama
2019,January,Number of Deaths,"52,534",Alabama
2019,July,Number of Deaths,"52,899",Alabama
2019,June,Number of Deaths,"52,785",Alabama
2019,March,Number of Deaths,"52,531",Alabama
2019,May,Number of Deaths,"52,698",Alabama
2019,November,Number of Deaths,"53,207",Alabama
2019,October,Number of Deaths,"53,072",Alabama
2019,September,Number of Deaths,"53,061",Alabama
2020,April,Number of Deaths,"54,004",Alabama
2020,August,Number of Deaths,"58,088",Alabama
2020,December,Number of Deaths,"63,362",Alabama
2020,February,Number of Deaths,"53,422",Alabama
2020,January,Number of Deaths,"53,128",Alabama
2020,July,Number of Deaths,"56,638",Alabama
2020,June,Number of Deaths,"55,299",Alabama
2020,March,Number of Deaths,"53,503",Alabama
2020,May,Number of Deaths,"54,639",Alabama
2020,November,Number of Deaths,"61,080",Alabama
2020,October,Number of Deaths,"59,979",Alabama
2020,September,Number of Deaths,"59,072",Alabama
2021,April,Number of Deaths,"67,796",Alabama
2021,August,Number of Deaths,"67,485",Alabama
2021,December,Number of Deaths,"67,323",Alabama
2021,February,Number of Deaths,"67,381",Alabama
2021,January,Number of Deaths,"66,454",Alabama
2021,July,Number of Deaths,"66,595",Alabama
2021,June,Number of Deaths,"67,394",Alabama
2021,March,Number of Deaths,"67,701",Alabama
2021,May,Number of Deaths,"67,598",Alabama
2021,November,Number of Deaths,"69,025",Alabama
2021,October,Number of Deaths,"69,542",Alabama
2021,September,Number of Deaths,"69,141",Alabama
2022,April,Number of Deaths,"66,101",Alabama
2022,August,Number of Deaths,"63,769",Alabama
2022,February,Number of Deaths,"66,595",Alabama
2022,January,Number of Deaths,"66,192",Alabama
2022,July,Number of Deaths,"65,634",Alabama
2022,June,Number of Deaths,"65,702",Alabama
2022,March,Number of Deaths,"66,524",Alabama
2022,May,Number of Deaths,"65,791",Alabama
2015,April,Number of Deaths,"30,444",Arkansas
2015,August,Number of Deaths,"30,884",Arkansas
2015,December,Number of Deaths,"30,986",Arkansas
2015,February,Number of Deaths,"30,332",Arkansas
2015,January,Number of Deaths,"30,122",Arkansas
2015,July,Number of Deaths,"30,685",Arkansas
2015,June,Number of Deaths,"30,722",Arkansas
2015,March,Number of Deaths,"30,387",Arkansas
2015,May,Number of Deaths,"30,602",Arkansas
2015,November,Number of Deaths,"31,007",Arkansas
2015,October,Number of Deaths,"31,015",Arkansas
2015,September,Number of Deaths,"30,931",Arkansas
2016,April,Number of Deaths,"30,489",Arkansas
2016,August,Number of Deaths,"30,488",Arkansas
2016,December,Number of Deaths,"31,028",Arkansas
2016,February,Number of Deaths,"30,413",Arkansas
2016,January,Number of Deaths,"30,624",Arkansas
2016,July,Number of Deaths,"30,590",Arkansas
2016,June,Number of Deaths,"30,434",Arkansas
2016,March,Number of Deaths,"30,421",Arkansas
2016,May,Number of Deaths,"30,361",Arkansas
2016,November,Number of Deaths,"30,697",Arkansas
2016,October,Number of Deaths,"30,489",Arkansas
2016,September,Number of Deaths,"30,540",Arkansas
2017,April,Number of Deaths,"31,382",Arkansas
2017,August,Number of Deaths,"31,596",Arkansas
2017,December,Number of Deaths,"31,823",Arkansas
2017,February,Number of Deaths,"31,156",Arkansas
2017,January,Number of Deaths,"31,113",Arkansas
2017,July,Number of Deaths,"31,550",Arkansas
2017,June,Number of Deaths,"31,555",Arkansas
2017,March,Number of Deaths,"31,309",Arkansas
2017,May,Number of Deaths,"31,496",Arkansas
2017,November,Number of Deaths,"31,654",Arkansas
2017,October,Number of Deaths,"31,724",Arkansas
2017,September,Number of Deaths,"31,718",Arkansas
2018,April,Number of Deaths,"32,057",Arkansas
2018,August,Number of Deaths,"32,011",Arkansas
2018,December,Number of Deaths,"31,822",Arkansas
2018,February,Number of Deaths,"32,398",Arkansas
2018,January,Number of Deaths,"32,292",Arkansas
2018,July,Number of Deaths,"32,046",Arkansas
2018,June,Number of Deaths,"32,084",Arkansas
2018,March,Number of Deaths,"32,198",Arkansas
2018,May,Number of Deaths,"32,120",Arkansas
2018,November,Number of Deaths,"32,127",Arkansas
2018,October,Number of Deaths,"32,046",Arkansas
2018,September,Number of Deaths,"31,960",Arkansas
2019,April,Number of Deaths,"32,030",Arkansas
2019,August,Number of Deaths,"32,084",Arkansas
2019,December,Number of Deaths,"32,319",Arkansas
2019,February,Number of Deaths,"31,534",Arkansas
2019,January,Number of Deaths,"31,454",Arkansas
2019,July,Number of Deaths,"32,004",Arkansas
2019,June,Number of Deaths,"31,994",Arkansas
2019,March,Number of Deaths,"31,861",Arkansas
2019,May,Number of Deaths,"31,993",Arkansas
2019,November,Number of Deaths,"32,266",Arkansas
2019,October,Number of Deaths,"32,140",Arkansas
2019,September,Number of Deaths,"32,125",Arkansas
2020,April,Number of Deaths,"32,294",Arkansas
2020,August,Number of Deaths,"34,158",Arkansas
2020,December,Number of Deaths,"37,820",Arkansas
2020,February,Number of Deaths,"32,413",Arkansas
2020,January,Number of Deaths,"32,333",Arkansas
2020,July,Number of Deaths,"33,407",Arkansas
2020,June,Number of Deaths,"32,865",Arkansas
2020,March,Number of Deaths,"32,266",Arkansas
2020,May,Number of Deaths,"32,429",Arkansas
2020,November,Number of Deaths,"36,582",Arkansas
2020,October,Number of Deaths,"35,663",Arkansas
2020,September,Number of Deaths,"34,833",Arkansas
2021,April,Number of Deaths,"39,777",Arkansas
2021,August,Number of Deaths,"40,810",Arkansas
2021,December,Number of Deaths,"40,034",Arkansas
2021,February,Number of Deaths,"39,492",Arkansas
2021,January,Number of Deaths,"39,078",Arkansas
2021,July,Number of Deaths,"40,174",Arkansas
2021,June,Number of Deaths,"39,964",Arkansas
2021,March,Number of Deaths,"39,689",Arkansas
2021,May,Number of Deaths,"39,995",Arkansas
2021,November,Number of Deaths,"40,620",Arkansas
2021,October,Number of Deaths,"41,142",Arkansas
2021,September,Number of Deaths,"41,199",Arkansas
2022,April,Number of Deaths,"40,306",Arkansas
2022,August,Number of Deaths,"38,861",Arkansas
2022,February,Number of Deaths,"40,167",Arkansas
2022,January,Number of Deaths,"39,845",Arkansas
2022,July,Number of Deaths,"39,864",Arkansas
2022,June,Number of Deaths,"40,226",Arkansas
2022,March,Number of Deaths,"40,296",Arkansas
2022,May,Number of Deaths,"40,240",Arkansas
2015,April,Number of Deaths,"53,025",Arizona
2015,August,Number of Deaths,"53,907",Arizona
2015,December,Number of Deaths,"54,853",Arizona
2015,February,Number of Deaths,"52,371",Arizona
2015,January,Number of Deaths,"52,342",Arizona
2015,July,Number of Deaths,"53,685",Arizona
2015,June,Number of Deaths,"53,462",Arizona
2015,March,Number of Deaths,"52,826",Arizona
2015,May,Number of Deaths,"53,225",Arizona
2015,November,Number of Deaths,"54,421",Arizona
2015,October,Number of Deaths,"54,122",Arizona
2015,September,Number of Deaths,"54,058",Arizona
2016,April,Number of Deaths,"56,436",Arizona
2016,August,Number of Deaths,"56,960",Arizona
2016,December,Number of Deaths,"57,215",Arizona
2016,February,Number of Deaths,"55,755",Arizona
2016,January,Number of Deaths,"54,917",Arizona
2016,July,Number of Deaths,"56,865",Arizona
2016,June,Number of Deaths,"56,648",Arizona
2016,March,Number of Deaths,"56,319",Arizona
2016,May,Number of Deaths,"56,522",Arizona
2016,November,Number of Deaths,"57,252",Arizona
2016,October,Number of Deaths,"57,277",Arizona
2016,September,Number of Deaths,"57,051",Arizona
2017,April,Number of Deaths,"56,454",Arizona
2017,August,Number of Deaths,"57,310",Arizona
2017,December,Number of Deaths,"58,440",Arizona
2017,February,Number of Deaths,"56,609",Arizona
2017,January,Number of Deaths,"57,221",Arizona
2017,July,Number of Deaths,"57,215",Arizona
2017,June,Number of Deaths,"57,013",Arizona
2017,March,Number of Deaths,"56,269",Arizona
2017,May,Number of Deaths,"56,721",Arizona
2017,November,Number of Deaths,"57,852",Arizona
2017,October,Number of Deaths,"57,694",Arizona
2017,September,Number of Deaths,"57,531",Arizona
2018,April,Number of Deaths,"60,306",Arizona
2018,August,Number of Deaths,"60,298",Arizona
2018,December,Number of Deaths,"60,200",Arizona
2018,February,Number of Deaths,"59,896",Arizona
2018,January,Number of Deaths,"59,582",Arizona
2018,July,Number of Deaths,"60,174",Arizona
2018,June,Number of Deaths,"60,116",Arizona
2018,March,Number of Deaths,"60,187",Arizona
2018,May,Number of Deaths,"60,187",Arizona
2018,November,Number of Deaths,"60,384",Arizona
2018,October,Number of Deaths,"60,343",Arizona
2018,September,Number of Deaths,"60,366",Arizona
2019,April,Number of Deaths,"59,660",Arizona
2019,August,Number of Deaths,"60,352",Arizona
2019,December,Number of Deaths,"61,087",Arizona
2019,February,Number of Deaths,"59,464",Arizona
2019,January,Number of Deaths,"59,539",Arizona
2019,July,Number of Deaths,"60,177",Arizona
2019,June,Number of Deaths,"60,028",Arizona
2019,March,Number of Deaths,"59,529",Arizona
2019,May,Number of Deaths,"60,027",Arizona
2019,November,Number of Deaths,"61,103",Arizona
2019,October,Number of Deaths,"60,763",Arizona
2019,September,Number of Deaths,"60,560",Arizona
2020,April,Number of Deaths,"62,833",Arizona
2020,August,Number of Deaths,"70,740",Arizona
2020,December,Number of Deaths,"77,090",Arizona
2020,February,Number of Deaths,"61,763",Arizona
