Year,Month,Indicator,Value,State
2015,April,Number of Drug Overdose Deaths,126,Alaska
2015,August,Number of Drug Overdose Deaths,124,Alaska
2015,December,Number of Drug Overdose Deaths,121,Alaska
2015,February,Number of Drug Overdose Deaths,127,Alaska
2015,January,Number of Drug Overdose Deaths,126,Alaska
2015,July,Number of Drug Overdose Deaths,117,Alaska
2015,June,Number of Drug Overdose Deaths,121,Alaska
2015,March,Number of Drug Overdose Deaths,125,Alaska
2015,May,Number of Drug Overdose Deaths,125,Alaska
2015,November,Number of Drug Overdose Deaths,115,Alaska
2015,October,Number of Drug Overdose Deaths,120,Alaska
2015,September,Number of Drug Overdose Deaths,125,Alaska
2016,April,Number of Drug Overdose Deaths,132,Alaska
2016,August,Number of Drug Overdose Deaths,138,Alaska
2016,December,Number of Drug Overdose Deaths,129,Alaska
2016,February,Number of Drug Overdose Deaths,128,Alaska
2016,January,Number of Drug Overdose Deaths,126,Alaska
2016,July,Number of Drug Overdose Deaths,143,Alaska
2016,June,Number of Drug Overdose Deaths,138,Alaska
2016,March,Number of Drug Overdose Deaths,125,Alaska
2016,May,Number of Drug Overdose Deaths,140,Alaska
2016,November,Number of Drug Overdose Deaths,133,Alaska
2016,October,Number of Drug Overdose Deaths,131,Alaska
2016,September,Number of Drug Overdose Deaths,131,Alaska
2017,April,Number of Drug Overdose Deaths,117,Alaska
2017,August,Number of Drug Overdose Deaths,137,Alaska
2017,December,Number of Drug Overdose Deaths,141,Alaska
2017,February,Number of Drug Overdose Deaths,124,Alaska
2017,January,Number of Drug Overdose Deaths,126,Alaska
2017,July,Number of Drug Overdose Deaths,128,Alaska
2017,June,Number of Drug Overdose Deaths,122,Alaska
2017,March,Number of Drug Overdose Deaths,126,Alaska
2017,May,Number of Drug Overdose Deaths,120,Alaska
2017,November,Number of Drug Overdose Deaths,138,Alaska
2017,October,Number of Drug Overdose Deaths,144,Alaska
2017,September,Number of Drug Overdose Deaths,148,Alaska
2018,April,Number of Drug Overdose Deaths,142,Alaska
2018,August,Number of Drug Overdose Deaths,110,Alaska
2018,December,Number of Drug Overdose Deaths,105,Alaska
2018,February,Number of Drug Overdose Deaths,139,Alaska
2018,January,Number of Drug Overdose Deaths,138,Alaska
2018,July,Number of Drug Overdose Deaths,116,Alaska
2018,June,Number of Drug Overdose Deaths,125,Alaska
2018,March,Number of Drug Overdose Deaths,136,Alaska
2018,May,Number of Drug Overdose Deaths,126,Alaska
2018,November,Number of Drug Overdose Deaths,106,Alaska
2018,October,Number of Drug Overdose Deaths,99,Alaska
2018,September,Number of Drug Overdose Deaths,100,Alaska
2019,April,Number of Drug Overdose Deaths,119,Alaska
2019,August,Number of Drug Overdose Deaths,130,Alaska
2019,December,Number of Drug Overdose Deaths,133,Alaska
2019,February,Number of Drug Overdose Deaths,115,Alaska
2019,January,Number of Drug Overdose Deaths,107,Alaska
2019,July,Number of Drug Overdose Deaths,135,Alaska
2019,June,Number of Drug Overdose Deaths,132,Alaska
2019,March,Number of Drug Overdose Deaths,124,Alaska
2019,May,Number of Drug Overdose Deaths,128,Alaska
2019,November,Number of Drug Overdose Deaths,139,Alaska
2019,October,Number of Drug Overdose Deaths,146,Alaska
2019,September,Number of Drug Overdose Deaths,136,Alaska
2020,April,Number of Drug Overdose Deaths,120,Alaska
2020,August,Number of Drug Overdose Deaths,139,Alaska
